timestamp(ns),image_idx
1709593557002409782,711
1709593557035476893,712
1709593557068616562,713
1709593557102007233,714
1709593557135632472,715
1709593557168557537,716
1709593557202136267,717
1709593557235512971,718
1709593557268840575,719
1709593557302296644,720
1709593557335309617,721
1709593557368965674,722
1709593557402034059,723
1709593557435650479,724
1709593557468713284,725
1709593557502318249,726
1709593557535441175,727
1709593557569079313,728
1709593557602272560,729
1709593557635877997,730
1709593557669334495,731
1709593557702340639,732
1709593557735482938,733
1709593557768848320,734
1709593557802396716,735
1709593557835870077,736
1709593557868864560,737
1709593557902214310,738
1709593557935164586,739
1709593557968692861,740
1709593558002367219,741
1709593558035507883,742
1709593558068700237,743
1709593558102178747,744
1709593558135710041,745
1709593558169102629,746
1709593558202528035,747
1709593558235727289,748
1709593558268876134,749
1709593558302449942,750
1709593558335839607,751
1709593558369052135,752
1709593558402445658,753
1709593558435584705,754
1709593558469089627,755
1709593558502220080,756
1709593558535632938,757
1709593558569182696,758
1709593558602289474,759
1709593558635578669,760
1709593558668759784,761
1709593558702121026,762
1709593558735604327,763
1709593558768543812,764
1709593558802238013,765
1709593558835608522,766
1709593558869197506,767
1709593558902410040,768
1709593558935978115,769
1709593558968929245,770
1709593559002602274,771
1709593559035761140,772
1709593559069225606,773
1709593559102382117,774
1709593559135650067,775
1709593559168733411,776
1709593559202291752,777
1709593559235327635,778
1709593559268984394,779
1709593559302211613,780
1709593559335501389,781
1709593559368552888,782
1709593559402264693,783
1709593559435468798,784
1709593559468693530,785
1709593559501923779,786
1709593559535576393,787
1709593559568989628,788
1709593559602133872,789
1709593559635208440,790
1709593559669054501,791
1709593559702430572,792
1709593559735390786,793
1709593559768996683,794
1709593559802224967,795
1709593559835131854,796
1709593559868586159,797
1709593559902445536,798
1709593559935973783,799
1709593559969116446,800
1709593560002370911,801
1709593560035652341,802
1709593560069064039,803
1709593560102287014,804
1709593560135310270,805
1709593560168750778,806
1709593560202347223,807
1709593560235498392,808
1709593560268735449,809
1709593560302157248,810
1709593560335248096,811
1709593560369111590,812
1709593560402908033,813
1709593560435566104,814
1709593560468890665,815
1709593560502089100,816
1709593560535256168,817
1709593560568672091,818
1709593560601851977,819
1709593560635307699,820
1709593560668558904,821
1709593560701923896,822
1709593560735224819,823
1709593560768678259,824
1709593560802024927,825
1709593560835490301,826
1709593560868773464,827
1709593560902194528,828
1709593560935381962,829
1709593560969036102,830
1709593561002280161,831
1709593561035631018,832
1709593561068933236,833
1709593561102429011,834
1709593561135711781,835
1709593561169021299,836
1709593561202656225,837
1709593561235308422,838
1709593561268760878,839
1709593561301895992,840
1709593561335310979,841
1709593561368757787,842
1709593561402219520,843
1709593561435806350,844
1709593561468798535,845
1709593561502123886,846
1709593561535404047,847
1709593561568512197,848
1709593561602373476,849
1709593561635392186,850
1709593561668568720,851
1709593561702051816,852
1709593561735395904,853
1709593561769252411,854
1709593561802230226,855
1709593561835551096,856
1709593561869127184,857
1709593561902331158,858
1709593561935403795,859
1709593561968720354,860
1709593562002076125,861
1709593562035544458,862
1709593562068789988,863
1709593562102154793,864
1709593562135370188,865
1709593562168479943,866
1709593562201912410,867
1709593562235132966,868
1709593562269182420,869
1709593562302253852,870
1709593562335547515,871
1709593562368749052,872
1709593562402239876,873
1709593562435693773,874
1709593562468896946,875
1709593562502439884,876
1709593562535623542,877
1709593562569005912,878
1709593562602403833,879
1709593562635309476,880
1709593562668798420,881
1709593562702044947,882
1709593562735622127,883
1709593562768530870,884
1709593562802107428,885
1709593562835231118,886
1709593562869007056,887
1709593562902275229,888
1709593562935807492,889
1709593562968500969,890
1709593563002430002,891
1709593563037610916,892
1709593563069831624,893
1709593563102234299,894
1709593563135645419,895
1709593563169125434,896
1709593563202348235,897
1709593563235687082,898
1709593563268971594,899
1709593563302579178,900
1709593563335530519,901
1709593563368985214,902
1709593563402422385,903
1709593563435582140,904
1709593563469141924,905
1709593563502181136,906
1709593563535271292,907
1709593563568604578,908
1709593563602105550,909
1709593563635357070,910
1709593563668510438,911
1709593563701963028,912
1709593563735405437,913
1709593563768465954,914
1709593563802108792,915
1709593563835353090,916
1709593563869278859,917
1709593563902484749,918
1709593563935907513,919
1709593563969064079,920
1709593564002518808,921
1709593564035359566,922
1709593564068715866,923
1709593564102777317,924
1709593564136023472,925
1709593564169469157,926
1709593564202022698,927
1709593564235087000,928
1709593564268751654,929
1709593564301616071,930
1709593564335214689,931
1709593564368440081,932
1709593564402327791,933
1709593564435233354,934
1709593564468926521,935
1709593564502219965,936
1709593564535304093,937
1709593564569135288,938
1709593564602334561,939
1709593564635714715,940
1709593564669173142,941
1709593564702473604,942
1709593564735313553,943
1709593564768915703,944
1709593564802020537,945
1709593564835507154,946
1709593564868907647,947
1709593564902184777,948
1709593564935406255,949
1709593564968496628,950
1709593565002418846,951
1709593565035631459,952
1709593565068731171,953
1709593565102412388,954
1709593565135553121,955
1709593565168807081,956
1709593565202481852,957
1709593565235579987,958
1709593565269163627,959
1709593565302540371,960
1709593565335672179,961
1709593565369519277,962
1709593565402651443,963
1709593565435676551,964
1709593565468936728,965
1709593565502490378,966
1709593565535601826,967
1709593565569587845,968
1709593565601999211,969
1709593565635391806,970
1709593565668739493,971
1709593565702361756,972
1709593565735311683,973
1709593565768644863,974
1709593565802076398,975
1709593565835830605,976
1709593565868950056,977
1709593565902365946,978
1709593565935335380,979
1709593565969014717,980
1709593566002658117,981
1709593566036139218,982
1709593566069128636,983
1709593566102640041,984
1709593566135640294,985
1709593566169056616,986
1709593566202303821,987
1709593566235808155,988
1709593566269147314,989
1709593566302524977,990
1709593566335461821,991
1709593566368523358,992
1709593566402069554,993
1709593566435354720,994
1709593566468720849,995
1709593566502167227,996
1709593566535821441,997
1709593566569474535,998
1709593566602311734,999
1709593566635889504,1000
1709593566668815345,1001
1709593566702445173,1002
1709593566735788935,1003
1709593566768930029,1004
1709593566802457598,1005
1709593566835341879,1006
1709593566868888140,1007
1709593566902037201,1008
1709593566935450573,1009
1709593566968729630,1010
1709593567001942047,1011
1709593567035269775,1012
1709593567068468633,1013
1709593567102232556,1014
1709593567135669689,1015
1709593567168688475,1016
1709593567202294148,1017
1709593567235679520,1018
1709593567268633052,1019
1709593567301921517,1020
1709593567335774842,1021
1709593567368672791,1022
1709593567402327681,1023
1709593567435866435,1024
1709593567469193197,1025
1709593567502339993,1026
1709593567535529005,1027
1709593567569234434,1028
1709593567602083503,1029
1709593567635436570,1030
1709593567670232484,1031
1709593567702061836,1032
1709593567735610089,1033
1709593567768632058,1034
1709593567802353736,1035
